Nombre del Producto,URL de la Imagen
A Light in the Attic,https://books.toscrape.com/BookstoScrapehtml_files/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,https://books.toscrape.com/BookstoScrapehtml_files/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,https://books.toscrape.com/BookstoScrapehtml_files/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,https://books.toscrape.com/BookstoScrapehtml_files/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,https://books.toscrape.com/BookstoScrapehtml_files/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,https://books.toscrape.com/BookstoScrapehtml_files/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/BookstoScrapehtml_files/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/BookstoScrapehtml_files/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/BookstoScrapehtml_files/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,https://books.toscrape.com/BookstoScrapehtml_files/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/BookstoScrapehtml_files/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare&#39;s Sonnets,https://books.toscrape.com/BookstoScrapehtml_files/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,https://books.toscrape.com/BookstoScrapehtml_files/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim&#39;s Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/BookstoScrapehtml_files/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,https://books.toscrape.com/BookstoScrapehtml_files/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/BookstoScrapehtml_files/54607fe8945897cdcced0044103b10b6.jpg
Olio,https://books.toscrape.com/BookstoScrapehtml_files/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/BookstoScrapehtml_files/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,https://books.toscrape.com/BookstoScrapehtml_files/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It&#39;s Only the Himalayas,https://books.toscrape.com/BookstoScrapehtml_files/27a53d0bb95bdd88288eaf66c9230d7e.jpg
